,Name,Contract period,Monthly Cost,Cumulative Monthly Cost
0,Andy,2018-10-17,45,45
1,Andy,2018-11-17,45,90
2,Andy,2018-12-17,45,135
3,Andy,2019-01-17,45,180
4,Andy,2019-02-17,45,225
5,Andy,2019-03-17,45,270
6,Andy,2019-04-17,45,315
7,Andy,2019-05-17,45,360
8,Andy,2019-06-17,45,405
9,Andy,2019-07-17,45,450
10,Andy,2019-08-17,45,495
11,Andy,2019-09-17,45,540
12,Carl,2018-12-13,20,20
13,Carl,2019-01-13,20,40
14,Carl,2019-02-13,20,60
15,Carl,2019-03-13,20,80
16,Carl,2019-04-13,20,100
17,Carl,2019-05-13,20,120
18,Carl,2019-06-13,20,140
19,Carl,2019-07-13,20,160
20,Carl,2019-08-13,20,180
21,Carl,2019-09-13,20,200
22,Carl,2019-10-13,20,220
23,Carl,2019-11-13,20,240
24,Carl,2019-12-13,20,260
25,Carl,2020-01-13,20,280
26,Carl,2020-02-13,20,300
27,Carl,2020-03-13,20,320
28,Carl,2020-04-13,20,340
29,Carl,2020-05-13,20,360
30,Carl,2020-06-13,20,380
31,Carl,2020-07-13,20,400
32,Carl,2020-08-13,20,420
33,Carl,2020-09-13,20,440
34,Carl,2020-10-13,20,460
35,Carl,2020-11-13,20,480
36,Jonathan,2019-02-22,15,15
37,Jonathan,2019-03-22,15,30
38,Jonathan,2019-04-22,15,45
39,Jonathan,2019-05-22,15,60
40,Jonathan,2019-06-22,15,75
41,Jonathan,2019-07-22,15,90
42,Sophie,2018-11-19,30,30
43,Sophie,2018-12-19,30,60
44,Sophie,2019-01-19,30,90
45,Sophie,2019-02-19,30,120
46,Sophie,2019-03-19,30,150
47,Sophie,2019-04-19,30,180
48,Sophie,2019-05-19,30,210
49,Sophie,2019-06-19,30,240
50,Sophie,2019-07-19,30,270
51,Sophie,2019-08-19,30,300
52,Sophie,2019-09-19,30,330
53,Sophie,2019-10-19,30,360
