,Training,Contact Email,Contact Name,Client,Client ID,Account Manager,From Date
0,Prep 101 - 2020-10-01,emilie.booton@abbott-runolfsson.com,Emilie Booton,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
1,Prep 101 - 2020-10-01,marleen.draper@abbott-runolfsson.com,Marleen Draper,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
2,Prep 101 - 2020-10-01,moira.beneteau@abbott-runolfsson.com,Moira Beneteau,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
3,Prep 101 - 2020-10-01,quinn.padkin@abbott-runolfsson.com,Quinn Padkin,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
4,Prep 102 - 2020-09-10,emilie.booton@abbott-runolfsson.com,Emilie Booton,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
5,Prep 102 - 2020-11-26,marleen.draper@abbott-runolfsson.com,Marleen Draper,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
6,Prep 102 - 2020-09-10,moira.beneteau@abbott-runolfsson.com,Moira Beneteau,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
7,Prep 102 - 2020-09-10,quinn.padkin@abbott-runolfsson.com,Quinn Padkin,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
8,Prep 103 - 2020-10-08,emilie.booton@abbott-runolfsson.com,Emilie Booton,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
9,Prep 103 - 2020-10-08,marleen.draper@abbott-runolfsson.com,Marleen Draper,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
10,Prep 103 - 2020-10-08,moira.beneteau@abbott-runolfsson.com,Moira Beneteau,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
11,Prep 103 - 2020-10-08,quinn.padkin@abbott-runolfsson.com,Quinn Padkin,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
12,Tableau 101 - 2020-09-10,emilie.booton@abbott-runolfsson.com,Emilie Booton,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
13,Tableau 101 - 2020-09-10,marleen.draper@abbott-runolfsson.com,Marleen Draper,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
14,Tableau 101 - 2020-09-10,moira.beneteau@abbott-runolfsson.com,Moira Beneteau,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
15,Tableau 101 - 2020-09-10,quinn.padkin@abbott-runolfsson.com,Quinn Padkin,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
16,Tableau 102 - 2020-11-12,emilie.booton@abbott-runolfsson.com,Emilie Booton,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
17,Tableau 102 - 2020-11-12,moira.beneteau@abbott-runolfsson.com,Moira Beneteau,Abbott-Runolfsson,1298,Ezazul Islam,2019-02-09
